,a_nav_status_xi,nav_status_D,nav_status_E,nav_status_N,nav_status_alt,nav_status_origin_lat,nav_status_origin_lon,nav_status_pitch,nav_status_roll,nav_status_yaw
0,2021-09-20 09:26:41.312509,0.0,-168.32995903270296,-95.83400829450724,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6154145002365112
1,2021-09-20 09:26:41.338314,0.0,-168.3171760575139,-95.83897431413662,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6222846508026123
2,2021-09-20 09:26:41.383691,0.0,-168.3046481889487,-95.84376031221935,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6266865730285645
3,2021-09-20 09:26:41.407042,0.0,-168.29206288861778,-95.84837055197767,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6416131258010864
4,2021-09-20 09:26:41.438294,0.0,-168.27932336422427,-95.8533732741369,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6147267818450928
5,2021-09-20 09:26:41.517351,0.0,-168.2650198897349,-95.85652244848019,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6056736707687378
6,2021-09-20 09:26:41.538207,0.0,-168.25232712067555,-95.86130201256258,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6114239692687988
7,2021-09-20 09:26:41.583889,0.0,-168.24010641039743,-95.86593721072768,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6302387714385986
8,2021-09-20 09:26:41.607037,0.0,-168.22781040835332,-95.87067178931301,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6245023012161255
9,2021-09-20 09:26:41.668974,0.0,-168.21340090112759,-95.87265486213755,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5975984334945679
10,2021-09-20 09:26:41.701700,0.0,-168.20235253325606,-95.87683859582103,0.0,39.154599999999995,2.9449,-0.0,0.0,1.63487708568573
11,2021-09-20 09:26:41.751372,0.0,-168.19016927964023,-95.88145586925825,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6161651611328125
12,2021-09-20 09:26:41.779448,0.0,-168.17808107195975,-95.88604579712391,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6226565837860107
13,2021-09-20 09:26:41.804982,0.0,-168.16619758744946,-95.89060392766636,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6218725442886353
14,2021-09-20 09:26:41.879108,0.0,-168.14203276790678,-95.89967631658544,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6378874778747559
15,2021-09-20 09:26:41.919286,0.0,-168.13983070161555,-95.89655289002337,0.0,39.154599999999995,2.9449,-0.0,0.0,1.638917088508606
16,2021-09-20 09:26:41.940510,0.0,-168.128157405647,-95.90105654880675,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6365214586257935
17,2021-09-20 09:26:41.980604,0.0,-168.1166168402803,-95.90544723351971,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6667200326919556
18,2021-09-20 09:26:42.003986,0.0,-168.1044736328172,-95.9101465869481,0.0,39.154599999999995,2.9449,-0.0,0.0,1.616339921951294
19,2021-09-20 09:26:42.068099,0.0,-168.08119584198758,-95.91911952138577,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6408449411392212
20,2021-09-20 09:26:42.109079,0.0,-168.07496124562658,-95.91193056324923,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6116162538528442
21,2021-09-20 09:26:42.142152,0.0,-168.06314096686467,-95.91603403854783,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6191864013671875
22,2021-09-20 09:26:42.175623,0.0,-168.05172162242033,-95.91986857397336,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6199610233306885
23,2021-09-20 09:26:42.208772,0.0,-168.03982791341608,-95.9237974986924,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6105414628982544
24,2021-09-20 09:26:42.275400,0.0,-168.01674364440254,-95.93120172213445,0.0,39.154599999999995,2.9449,-0.0,0.0,1.601370096206665
25,2021-09-20 09:26:42.310169,0.0,-168.00649730265812,-95.92539446677739,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5626126527786255
26,2021-09-20 09:26:42.342166,0.0,-167.99507023413128,-95.92882984770297,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5865260362625122
27,2021-09-20 09:26:42.375667,0.0,-167.98323531701877,-95.93232229731349,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5814696550369263
28,2021-09-20 09:26:42.408805,0.0,-167.97171824843164,-95.93553256870014,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5953229665756226
29,2021-09-20 09:26:42.442227,0.0,-167.9599885090317,-95.93890411897146,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5834513902664185
30,2021-09-20 09:26:42.510253,0.0,-167.9378715222141,-95.94307637886533,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5809231996536255
31,2021-09-20 09:26:42.542118,0.0,-167.92646997419288,-95.94621848062246,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5968618392944336
32,2021-09-20 09:26:42.583683,0.0,-167.91462614102693,-95.94965224566113,0.0,39.154599999999995,2.9449,-0.0,0.0,1.582829475402832
33,2021-09-20 09:26:42.607114,0.0,-167.90299623047233,-95.95281146364289,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5919705629348755
34,2021-09-20 09:26:42.675251,0.0,-167.88175044847003,-95.96646684142749,0.0,39.154599999999995,2.9449,-0.0,0.0,1.590072751045227
35,2021-09-20 09:26:42.701737,0.0,-167.87221071901772,-95.96951480326256,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6341010332107544
36,2021-09-20 09:26:42.734424,0.0,-167.86088601711702,-95.97319873051703,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6248596906661987
37,2021-09-20 09:26:42.767773,0.0,-167.84937644349665,-95.97717557591193,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6266543865203857
38,2021-09-20 09:26:42.805083,0.0,-167.83806425680228,-95.98108233936662,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6010538339614868
39,2021-09-20 09:26:42.849131,0.0,-167.8266949621762,-95.9850926208587,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6622124910354614
40,2021-09-20 09:26:42.905465,0.0,-167.8080289430408,-96.0073684203622,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6884658336639404
41,2021-09-20 09:26:42.939322,0.0,-167.7969715417664,-96.01207254718122,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6302255392074585
42,2021-09-20 09:26:42.977732,0.0,-167.78581483417545,-96.01662918499947,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6567238569259644
43,2021-09-20 09:26:43.016114,0.0,-167.77495063792864,-96.02126833166328,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6800249814987183
44,2021-09-20 09:26:43.038499,0.0,-167.76390794169592,-96.0258565087523,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6780158281326294
45,2021-09-20 09:26:43.108506,0.0,-167.74401160148295,-96.052732051699,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6584064960479736
46,2021-09-20 09:26:43.140610,0.0,-167.73321719770092,-96.0577200931266,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6678136587142944
47,2021-09-20 09:26:43.173933,0.0,-167.7222025154664,-96.06292407830716,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6458740234375
48,2021-09-20 09:26:43.209735,0.0,-167.71154650733695,-96.067911132701,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6720517873764038
49,2021-09-20 09:26:43.243187,0.0,-167.70039421020965,-96.07298493207843,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6640667915344238
50,2021-09-20 09:26:43.309769,0.0,-167.67903828283062,-96.10128599949067,0.0,39.154599999999995,2.9449,-0.0,0.0,1.645616054534912
51,2021-09-20 09:26:43.345068,0.0,-167.6681063344642,-96.10650474147378,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6279033422470093
52,2021-09-20 09:26:43.380595,0.0,-167.65706650424107,-96.11169937335866,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6395835876464844
53,2021-09-20 09:26:43.408822,0.0,-167.64615507431606,-96.11697418619467,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6296429634094238
54,2021-09-20 09:26:43.442087,0.0,-167.63523745470007,-96.12193205938752,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6166365146636963
55,2021-09-20 09:26:43.476944,0.0,-167.62331156298816,-96.13955679658775,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6249382495880127
56,2021-09-20 09:26:43.543566,0.0,-167.60246961532002,-96.14982715674648,0.0,39.154599999999995,2.9449,-0.0,0.0,1.616261601448059
57,2021-09-20 09:26:43.573903,0.0,-167.59148466884065,-96.15512982370042,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6136611700057983
58,2021-09-20 09:26:43.617661,0.0,-167.58048670887175,-96.16031510066806,0.0,39.154599999999995,2.9449,-0.0,0.0,1.606457233428955
59,2021-09-20 09:26:43.647802,0.0,-167.56919797869062,-96.16541916595308,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6118922233581543
60,2021-09-20 09:26:43.682057,0.0,-167.5580355184955,-96.17056768494946,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6264437437057495
61,2021-09-20 09:26:43.740540,0.0,-167.53650756663106,-96.18189451865706,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5747442245483398
62,2021-09-20 09:26:43.773886,0.0,-167.5254978428752,-96.18683744637035,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5729719400405884
63,2021-09-20 09:26:43.807314,0.0,-167.5141405993345,-96.19183711116618,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5636392831802368
64,2021-09-20 09:26:43.838250,0.0,-167.50284636650272,-96.19694348063396,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5766156911849976
65,2021-09-20 09:26:43.872800,0.0,-167.49408633003586,-96.19966860748504,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5605138540267944
66,2021-09-20 09:26:43.938308,0.0,-167.4737773345454,-96.20897789052385,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5864413976669312
67,2021-09-20 09:26:43.971637,0.0,-167.46267701134073,-96.21414952069263,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5809270143508911
